classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
prairie grouse,5,"['airplane wing', 'oil filter', 'goose', 'hare', 'impala antelope']","[0.0599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.8437499999999999,0.84,0.913,0.84,0.001,0.876,83,70
peafowl,6,"['oil filter', 'vulture', 'sulphur crested cockatoo', 'common gallinule', 'lighter']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.8599999999999999,0.86,0.86,0.001,0.86,84,487
quail,10,"['partridge', 'jay', 'magpie', 'prairie grouse', 'duck']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.7600000000000001,0.826,0.76,0.001,0.793,85,96
partridge,13,"['ptarmigan', 'quail', 'ruffed grouse', 'vulture', 'american robin']","[0.1, 0.08, 0.06, 0.04, 0.02]",0.0,0.5400000000000001,0.844,0.54,0.001,0.692,86,36
african grey parrot,4,"['oil filter', 'airplane wing', 'sulphur crested cockatoo', 'bell or wind chime']","[0.0799999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",0.8164965809277263,0.84,1.0,0.84,0.001,0.92,87,129
macaw,5,"['lorikeet', 'oil filter', 'sea anemone', 'wool', 'banana']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.86,0.86,0.86,0.001,0.86,88,488
sulphur crested cockatoo,7,"['oil filter', 'bald eagle', 'american dipper', 'kite bird of prey', 'great egret']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.8,0.851,0.8,0.001,0.826,89,191
lorikeet,2,"['macaw', 'snail']","[0.02, 0.02]",0.0,0.96,0.828,0.96,0.001,0.894,90,333
coucal,18,"['american robin', 'hummingbird', 'bulbul', 'lorikeet', 'hornbill']","[0.08, 0.08, 0.04, 0.04, 0.04]",0.4082482904638644,0.44,1.0,0.44,0.0,0.72,91,45
bee eater,5,"['jacamar', 'goldfinch', 'platypus', 'hook', 'airplane wing']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.88,0.863,0.88,0.001,0.871,92,167
hornbill,13,"['vulture', 'hen', 'rooster', 'ostrich', 'jay']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.6800000000000002,0.667,0.68,0.001,0.674,93,298
hummingbird,6,"['jacamar', 'goldfinch', 'american robin', 'snail', 'wheelbarrow']","[0.18, 0.02, 0.02, 0.02, 0.02]",1.4999999999999998,0.7200000000000001,0.679,0.72,0.001,0.7,94,517
jacamar,5,"['hummingbird', 'bee eater', 'jay', 'hornbill', 'airplane wing']","[0.08, 0.04, 0.02, 0.02, 0.02]",1.1500493356615296,0.8199999999999998,0.745,0.82,0.001,0.782,95,57
toucan,4,"['hornbill', 'chain link fence', 'lighter', 'oil filter']","[0.08, 0.02, 0.02, 0.02]",1.154700538379252,0.86,0.915,0.86,0.001,0.888,96,348
duck,6,"['oil filter', 'goose', 'loggerhead sea turtle', 'hummingbird', 'dunlin']","[0.52, 0.04, 0.02, 0.02, 0.02]",1.4943497444348766,0.3600000000000001,0.486,0.36,0.001,0.423,97,5102
red breasted merganser,5,"['oil filter', 'oystercatcher', 'duck', 'sea lion', 'porcupine']","[0.2, 0.04, 0.02, 0.02, 0.02]",1.456547284601344,0.7,0.972,0.7,0.001,0.836,98,71
goose,7,"['oil filter', 'duck', 'airplane wing', 'vulture', 'black swan']","[0.18, 0.06, 0.06, 0.04, 0.02]",1.2332361516034982,0.6,0.732,0.6,0.001,0.666,99,3476
black swan,3,"['goose', 'common gallinule', 'oil filter']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9399999999999998,0.904,0.94,0.001,0.922,100,305
tusker,6,"['asian elephant', 'african bush elephant', 'oil filter', 'water buffalo', 'bighorn sheep']","[0.4599999999999999, 0.34, 0.06, 0.02, 0.02]",0.5163292696994976,0.08,0.129,0.08,0.001,0.105,101,1928
echidna,5,"['porcupine', 'sea urchin', 'armadillo', 'lighter', 'oil filter']","[0.12, 0.02, 0.02, 0.02, 0.02]",1.4999999999999991,0.8,0.833,0.8,0.001,0.816,102,149
platypus,17,"['oil filter', 'otter', 'hippopotamus', 'goldfish', 'tailed frog']","[0.36, 0.1599999999999999, 0.0799999999999999, 0.0399999999999999, 0.0399999999999999]",1.0701908064798316,0.0399999999999999,0.25,0.04,0.0,0.145,103,20
wallaby,10,"['fox squirrel', 'oil filter', 'hen', 'komodo dragon', 'garter snake']","[0.06, 0.06, 0.04, 0.02, 0.02]",-4.848699518061081e-16,0.7,0.473,0.7,0.001,0.586,104,300
koala,11,"['three toed sloth', 'hook', 'hornbill', 'wombat', 'bedlington terrier']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.74,0.755,0.74,0.001,0.748,105,414
