classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
sea cucumber,23,"['chiton', 'sea snake', 'redbone coonhound', 'swimming cap', 'snorkel']","[0.16, 0.04, 0.04, 0.04, 0.04]",1.5000000000000002,0.32,0.114,0.32,0.003,0.217,329,329,1300
cottontail rabbit,19,"['wombat', 'spotlight', 'ptarmigan', 'ruffed grouse', 'wallaby']","[0.08, 0.04, 0.02, 0.02, 0.02]",1.1500493356615296,0.54,0.482,0.54,0.001,0.511,330,330,1300
hare,17,"['cottontail rabbit', 'wallaby', 'duck', 'dingo', 'dhole']","[0.38, 0.1, 0.04, 0.04, 0.04]",1.3921882978922322,0.16,0.421,0.16,0.0,0.29,331,331,1300
angora rabbit,18,"['spotlight', 'cardboard box  carton', 'fire screen', 'prison', 'shoji screen  room divider']","[0.18, 0.04, 0.04, 0.04, 0.04]",1.5000000000000004,0.38,0.528,0.38,0.001,0.454,332,332,1300
hamster,21,"['mousetrap', 'cardboard box  carton', 'angora rabbit', 'spotlight', 'velvet fabric']","[0.1199999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",0.7500308204401287,0.3199999999999999,0.64,0.32,0.001,0.48,333,333,1300
porcupine,28,"['echidna', 'sloth bear', 'marmoset', 'american black bear', 'three toed sloth']","[0.16, 0.1399999999999999, 0.06, 0.04, 0.04]",0.3955562317756377,0.06,0.429,0.06,0.0,0.244,334,334,1300
fox squirrel,31,"['mongoose', 'cardboard box  carton', 'mitten', 'cottontail rabbit', 'marmot']","[0.08, 0.06, 0.06, 0.04, 0.04]",0.3436215967445477,0.1399999999999999,0.875,0.14,0.0,0.508,335,335,1206
marmot,16,"['mountain', 'wombat', 'otterhound', 'rock beauty fish', 'brown bear']","[0.1, 0.08, 0.08, 0.08, 0.04]",-0.8675276172357084,0.36,0.36,0.36,0.001,0.36,336,336,1300
beaver,25,"['marmot', 'duck', 'wombat', 'otterhound', 'mitten']","[0.1, 0.08, 0.08, 0.06, 0.06]",0.3436215967445442,0.18,0.643,0.18,0.0,0.412,337,337,1300
guinea pig,22,"['cardboard box  carton', 'hamster', 'mitten', 'wombat', 'spotlight']","[0.1399999999999999, 0.08, 0.08, 0.06, 0.06]",1.1642636431747186,0.12,0.857,0.12,0.0,0.488,338,338,1300
common sorrel horse,16,"['redbone coonhound', 'muzzle', 'bullock cart', 'rhodesian ridgeback', 'chesapeake bay retriever']","[0.26, 0.2, 0.08, 0.06, 0.06]",0.5418228971697724,0.0,0.0,0.0,0.001,0.0,339,339,1300
zebra,15,"['indian cobra', 'egyptian mau', 'tiger', 'vulture', 'goose']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.64,1.0,0.64,0.001,0.82,340,340,1300
pig,35,"['redbone coonhound', 'wild boar', 'cardboard box  carton', 'triceratops', 'balance beam']","[0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",-0.4082482904638629,0.0999999999999999,0.556,0.1,0.0,0.328,341,341,1300
wild boar,21,"['mitten', 'australian kelpie', 'sloth bear', 'hay', 'promontory']","[0.1399999999999999, 0.06, 0.06, 0.04, 0.04]",1.286470061706137,0.34,0.239,0.34,0.001,0.29,342,342,1300
warthog,24,"['wild boar', 'newt', 'triceratops', 'dhole', 'arabian camel']","[0.3, 0.04, 0.04, 0.04, 0.04]",1.5,0.12,0.333,0.12,0.0,0.226,343,343,1300
hippopotamus,27,"['duck', 'newt', 'triceratops', 'platypus', 'chesapeake bay retriever']","[0.12, 0.08, 0.06, 0.06, 0.06]",1.1500493356615291,0.1,0.714,0.1,0.0,0.407,344,344,1300
ox,29,"['bullock cart', 'tibetan mastiff', 'brussels griffon', 'muzzle', 'shoji screen  room divider']","[0.26, 0.04, 0.04, 0.04, 0.04]",1.5000000000000002,0.08,0.364,0.08,0.0,0.222,345,345,1300
water buffalo,26,"['australian kelpie', 'triceratops', 'alpine ibex', 'bullock cart', 'newt']","[0.06, 0.04, 0.04, 0.04, 0.02]",3.4285483091569353e-16,0.38,0.452,0.38,0.001,0.416,346,346,1300
bison,22,"['australian kelpie', 'ox', 'water buffalo', 'tibetan mastiff', 'wild boar']","[0.06, 0.06, 0.06, 0.04, 0.04]",-0.4082482904638644,0.38,0.704,0.38,0.001,0.542,347,347,1300
